Time [s], Analyzer Name, Decoded Protocol Result,,
1.3220711,SPI,MOSI: 0xAE;  MISO: 0x00,,
1.32218066,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32218172,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221828,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32218386,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32218492,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32218706,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32218812,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221892,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219132,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221924,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219452,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221956,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219772,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221988,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32219986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220092,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322202,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222052,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220732,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222084,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32220946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221052,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222116,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221372,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222148,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221692,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322218,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32221906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222012,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222212,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222226,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222332,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222244,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222546,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222652,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222276,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222866,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32222972,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222308,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223292,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322234,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223612,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222372,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223826,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32223932,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222404,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224146,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224252,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222436,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224466,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224572,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222468,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224786,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32224892,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225106,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225212,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222532,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225532,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222564,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225746,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32225852,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222596,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226066,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226172,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222628,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226386,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226492,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226706,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32226812,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222692,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227132,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222724,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227452,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222756,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227772,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222788,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32227986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228092,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322282,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222852,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228732,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222884,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32228946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229052,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222916,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229372,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3222948,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229692,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322298,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32229906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230012,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223012,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230226,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230332,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223044,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230546,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230652,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223076,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230866,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32230972,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223108,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231294,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322314,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231614,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223172,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231826,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32231932,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223204,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232146,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232254,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223236,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232466,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232572,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223268,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232786,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32232894,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233106,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233214,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223332,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233534,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223364,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233746,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32233854,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223396,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234066,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234174,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223428,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234386,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234494,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234706,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32234812,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223492,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235132,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223524,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235454,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223556,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235774,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223588,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32235986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236094,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322362,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223652,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236732,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223684,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32236946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237054,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223716,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237372,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223748,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237694,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322378,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32237906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238012,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223812,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238226,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238332,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223844,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238546,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238652,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223876,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238866,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32238974,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223908,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239294,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322394,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239614,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3223972,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239826,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32239934,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224004,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240146,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240254,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224036,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240466,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240574,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224068,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240786,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32240894,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241106,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241212,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224132,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241534,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224164,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241746,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32241854,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224196,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242066,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242174,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224228,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242386,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242494,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242706,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32242814,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224292,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243134,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224324,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243454,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224356,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243774,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224388,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32243986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244094,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322442,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244414,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224452,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244734,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224484,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32244946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245054,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224516,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245374,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224548,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245694,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322458,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32245906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246014,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224612,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246226,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246334,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224644,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246546,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246654,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224676,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246866,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32246974,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224708,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247294,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322474,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247614,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224772,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247826,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32247934,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224804,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248146,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248254,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224836,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248466,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248574,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224868,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248786,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32248894,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249106,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249214,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224932,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249534,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224964,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249746,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32249854,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3224996,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250066,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250174,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225028,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250386,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250494,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250706,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32250814,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225092,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251134,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225124,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251454,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225156,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251774,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225188,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32251986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252094,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322522,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252414,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225252,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252734,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225284,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32252946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253054,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225316,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253374,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225348,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253694,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322538,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32253906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32254014,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3225412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32254226,SPI,MOSI: 0x00;  MISO: 0x00,,
